Serie 9 Dragons Rising	Action Cards	154	Nap
Serie 9 Dragons Rising	Action Cards	155	Begging
Serie 9 Dragons Rising	Action Cards	156	Stretching
Serie 9 Dragons Rising	Action Cards	157	Ready
Serie 9 Dragons Rising	Action Cards	158	Imperial Gear
Serie 9 Dragons Rising	Action Cards	159	Dancing
Serie 9 Dragons Rising	Action Cards	160	Blueprint
Serie 9 Dragons Rising	Action Cards	161	What the...?
Serie 9 Dragons Rising	Action Cards	162	Energy Dragon
Serie 9 Dragons Rising	Action Cards	163	Charging
Serie 9 Dragons Rising	Action Cards	164	Audience
Serie 9 Dragons Rising	Action Cards	165	Pet Dragon
Serie 9 Dragons Rising	Action Cards	166	The Monastery
Serie 9 Dragons Rising	Action Cards	167	Hot Temper
Serie 9 Dragons Rising	Action Cards	168	Ancient Texts
Serie 9 Dragons Rising	Action Cards	169	Carrier Dragon
Serie 9 Dragons Rising	Action Cards	170	Photac Puppy
Serie 9 Dragons Rising	Action Cards	171	Don't drop your head
Serie 9 Dragons Rising	Action Cards	172	Ssserenading
Serie 9 Dragons Rising	Action Cards	173	First Place
Serie 9 Dragons Rising	Action Cards	174	The Great Magician
Serie 9 Dragons Rising	Action Cards	175	Stunned
Serie 9 Dragons Rising	Action Cards	176	Spotlight
Serie 9 Dragons Rising	Action Cards	177	Flaming Hands
Serie 9 Dragons Rising	Action Cards	178	Delicious Cake
Serie 9 Dragons Rising	Action Cards	179	Happy
Serie 9 Dragons Rising	Action Cards	180	Energy Soup
Serie 9 Dragons Rising	Action Cards	181	Young Scientist
Serie 9 Dragons Rising	Action Cards	182	Roaring
Serie 9 Dragons Rising	Action Cards	183	Shrine
Serie 9 Dragons Rising	Action Cards	184	Powering Up
Serie 9 Dragons Rising	Action Cards	185	Mech Race
Serie 9 Dragons Rising	Action Cards	186	Dragon Queen
Serie 9 Dragons Rising	Action Cards	187	Fake IDs
Serie 9 Dragons Rising	Action Cards	188	Aiming
Serie 9 Dragons Rising	Action Cards	189	Giant Spinjitzu
Serie 9 Dragons Rising	Gold Cards	253	Overpower Lloyd
Serie 9 Dragons Rising	Gold Cards	254	Overpower Kai
Serie 9 Dragons Rising	Gold Cards	255	Overpower Arin
Serie 9 Dragons Rising	Gold Cards	256	Overpower Ras
Serie 9 Dragons Rising	Heroes	1	Ultra Arin
Serie 9 Dragons Rising	Heroes	10	Arin
Serie 9 Dragons Rising	Heroes	11	Ultra Sora
Serie 9 Dragons Rising	Heroes	12	Wyldfyre
Serie 9 Dragons Rising	Heroes	13	Action Lloyd
Serie 9 Dragons Rising	Heroes	14	Mega Kai
Serie 9 Dragons Rising	Heroes	15	Comic Cole
Serie 9 Dragons Rising	Heroes	16	Nya
Serie 9 Dragons Rising	Heroes	17	Mega Zane
Serie 9 Dragons Rising	Heroes	18	Jay
Serie 9 Dragons Rising	Heroes	19	Comic Arin
Serie 9 Dragons Rising	Heroes	2	Sora
Serie 9 Dragons Rising	Heroes	20	Mega Sora
Serie 9 Dragons Rising	Heroes	21	Ultra Wyldfyre
Serie 9 Dragons Rising	Heroes	22	Lloyd
Serie 9 Dragons Rising	Heroes	23	Action Kai
Serie 9 Dragons Rising	Heroes	24	Power Cole
Serie 9 Dragons Rising	Heroes	25	Power Nya
Serie 9 Dragons Rising	Heroes	26	Ultra Zane
Serie 9 Dragons Rising	Heroes	27	Comic Jay
Serie 9 Dragons Rising	Heroes	28	Action Arin
Serie 9 Dragons Rising	Heroes	29	Comic Sora
Serie 9 Dragons Rising	Heroes	3	Action Wyldfyre
Serie 9 Dragons Rising	Heroes	30	Mega Wyldfyre
Serie 9 Dragons Rising	Heroes	31	Ultra Lloyd
Serie 9 Dragons Rising	Heroes	32	Kai
Serie 9 Dragons Rising	Heroes	33	Action Cole
Serie 9 Dragons Rising	Heroes	34	Mega Nya
Serie 9 Dragons Rising	Heroes	35	Comic Zane
Serie 9 Dragons Rising	Heroes	36	Power Jay
Serie 9 Dragons Rising	Heroes	37	Mega Arin
Serie 9 Dragons Rising	Heroes	38	Strong Sora
Serie 9 Dragons Rising	Heroes	39	Strong Wyldfyre
Serie 9 Dragons Rising	Heroes	4	Mega Lloyd
Serie 9 Dragons Rising	Heroes	40	Comic Lloyd
Serie 9 Dragons Rising	Heroes	41	Ultra Kai
Serie 9 Dragons Rising	Heroes	42	Mega Cole
Serie 9 Dragons Rising	Heroes	43	Action Nya
Serie 9 Dragons Rising	Heroes	44	Power Zane
Serie 9 Dragons Rising	Heroes	45	Ultra Jay
Serie 9 Dragons Rising	Heroes	46	Strong Arin
Serie 9 Dragons Rising	Heroes	47	Action Sora
Serie 9 Dragons Rising	Heroes	48	Comic Wyldfyre
Serie 9 Dragons Rising	Heroes	49	Power Lloyd
Serie 9 Dragons Rising	Heroes	5	Comic Kai
Serie 9 Dragons Rising	Heroes	50	Power Kai
Serie 9 Dragons Rising	Heroes	51	Ultra Cole
Serie 9 Dragons Rising	Heroes	52	Comic Nya
Serie 9 Dragons Rising	Heroes	53	Action Zane
Serie 9 Dragons Rising	Heroes	54	Mega Jay
Serie 9 Dragons Rising	Heroes	55	Master Wu
Serie 9 Dragons Rising	Heroes	56	Team Arin & Sora
Serie 9 Dragons Rising	Heroes	57	Riyu
Serie 9 Dragons Rising	Heroes	58	Action Team Lloyd & Arin
Serie 9 Dragons Rising	Heroes	59	Baker
Serie 9 Dragons Rising	Heroes	6	Cole
Serie 9 Dragons Rising	Heroes	60	Team Kai & Wyldfyre
Serie 9 Dragons Rising	Heroes	61	Hounddog McBrag
Serie 9 Dragons Rising	Heroes	62	Action Team Cole & Zane
Serie 9 Dragons Rising	Heroes	63	Tea Vendor
Serie 9 Dragons Rising	Heroes	64	Team Nya & Jay
Serie 9 Dragons Rising	Heroes	65	Strong Master Wu
Serie 9 Dragons Rising	Heroes	66	Action Team Jay & Zane
